tribes,settlement,collHandle,reservation,state,huc,huc_refined,in_progress,litigation
Nambé Pueblo,Aamodt Litigation Settlement,1928/32819,Nambé Pueblo,NM,Rio Grande River Basin,Rio Pojoaque Basin,,"NM, et al. v. Aamodt, et al., 66cv6639"
Pojoaque Pueblo,Aamodt Litigation Settlement,1928/32819,Pojoaque Pueblo,NM,Rio Grande River Basin,Rio Pojoaque Basin,,
San Ildefonso Pueblo,Aamodt Litigation Settlement,1928/32819,San Ildefonso Pueblo,NM,Rio Grande River Basin,Rio Pojoaque Basin,,
Tesuque Pueblo,Aamodt Litigation Settlement,1928/32819,Tesuque Pueblo,NM,Rio Grande River Basin,Rio Pojoaque Basin,,
Ak-Chin - Akimel O'odham,Ak-Chin Water Rights Settlement,1928/32820,Maricopa Indian Reservation,AZ,Lower Colorado,,,
Ak-Chin - Tohono O'odham,Ak-Chin Water Rights Settlement,1928/32820,Maricopa Indian Reservation,AZ,Lower Colorado,,,
Ak-Chin - Hia-Ced O'odham,Ak-Chin Water Rights Settlement,1928/32820,Maricopa Indian Reservation,AZ,Lower Colorado,,,
Chippewa-Cree Tribe,Chippewa-Cree Tribe-MT Compact,1928/32821,Rocky Boy Reservation,MT,Missouri River Basin, ,,
Southern Ute Indian Tribe,Colorado Utes Water Settlement ,1928/32822,Southern Ute Indian Reservation,CO,Upper Colorado,San Juan Basin,,
Ute Mountain Ute Tribe,Colorado Utes Water Settlement ,1928/32822,Ute Mountain Ute Indian Reservation,CO,Upper Colorado,San Juan Basin,,
Ute Mountain Ute Tribe,Colorado Utes Water Settlement ,1928/32822,Ute Mountain Ute Indian Reservation,NM,Upper Colorado,San Juan Basin,,
Crow Nation,Crow Tribe Water Rights Settlement,1928/32823,Crow Indian Reservation,MT,Missouri River Basin,,,
Shoshone Tribe,Duck Valley Water Rights Settlement,1928/32824,Duck Valley Indian Reservation,ID,Pacific Northwest  ,Columbia River Basin,,
Paiute Tribe,Duck Valley Water Rights Settlement,1928/32824,Duck Valley Indian Reservation,NV,Pacific Northwest  ,Columbia River Basin,,
Northern Paiute Tribe,Fallon Paiute-Shoshone Indian Tribes Water Rights Settlement ,1928/32825,Fallon Reservation and Colony,NV,Great Basin,,,
Western Shoshone Tribe,Fallon Paiute-Shoshone Indian Tribes Water Rights Settlement ,1928/32825,Fallon Reservation and Colony,NV,Great Basin,,,
Gros Ventre Tribe,Fort Belknap Indian Water Rights Settlement  ,1928/32826,Fort Belknap Indian Reservation ,MT,Missouri River Basin,,,
Assiniboine Tribe,Fort Belknap Indian Water Rights Settlement  ,1928/32826,Fort Belknap Indian Reservation ,MT,Missouri River Basin,,,
Shoshone Tribe,Fort Hall Indian Water Rights Settlement,1928/32827,Fort Hall Indian Reservation,ID,Pacific Northwest  ,Columbia River Basin,,
