Aamod_centroid_21827_FL.geojson, POINT (-105.997124140361 35.8623876792776)
Aamod_centroid_21882_FL.geojson, POINT (-105.997124140361 35.8623876792776)
Aamod_centroid_23228_IM.geojson, POINT (-105.997124140361 35.8623876792776)
Aamod_centroid_23229_SA.geojson, POINT (-105.997124140361 35.8623876792776)
AkChi_centroid_21746_FL.geojson, POINT (-112.041927703336 33.0078675001573)
AkChi_centroid_21747_SA.geojson, POINT (-112.041927703336 33.0078675001573)
AkChi_centroid_21748_FL.geojson, POINT (-112.041927703336 33.0078675001573)
AkChi_centroid_21749_FL.geojson, POINT (-112.041927703336 33.0078675001573)
AkChi_centroid_21750_FL.geojson, POINT (-112.041927703336 33.0078675001573)
CrowM_centroid_21767_FL.geojson, POINT (-107.750859438229 45.3795553871006)
CrowM_centroid_21768_SA.geojson, POINT (-107.750859438229 45.3795553871006)
CrowM_centroid_21768_SL.geojson, POINT (-107.750859438229 45.3795553871006)
DuckU_centroid_21879_FL.geojson, POINT (-116.182300065135 41.9165765693895)
DuckU_centroid_21880_AN.geojson, POINT (-116.182300065135 41.9165765693895)
Fallo_centroid_21769_FL.geojson, POINT (-118.618143329244 39.5210052849062)
Fallo_centroid_21770_FL.geojson, POINT (-118.618143329244 39.5210052849062)
FtBel_centroid_21772_SA.geojson, POINT (-108.611387284806 48.2052146332487)
FtBel_centroid_21772_SL.geojson, POINT (-108.611387284806 48.2052146332487)
FtHal_centroid_21773_FL.geojson, POINT (-112.36597547156 42.9646505831562)
FtHal_centroid_21774_WC.geojson, POINT (-112.36597547156 42.9646505831562)
FtHal_centroid_21775_SA.geojson, POINT (-112.36597547156 42.9646505831562)
FtMcD_centroid_21795_FL.geojson, POINT (-111.664498937025 33.6411928509852)
FtMcD_centroid_21796_FL.geojson, POINT (-111.664498937025 33.6411928509852)
FtMcD_centroid_21797_SA.geojson, POINT (-111.664498937025 33.6411928509852)
FtMcD_centroid_21896_FL.geojson, POINT (-111.664498937025 33.6411928509852)
FtPec_centroid_21798_SA.geojson, POINT (-105.538274349605 48.361029262304)
FtPec_centroid_21798_SL.geojson, POINT (-105.538274349605 48.361029262304)
FtPec_centroid_21799_FL.geojson, POINT (-105.538274349605 48.361029262304)
GilaR_centroid_21820_FL.geojson, POINT (-111.927011405124 33.1542655910964)
GilaR_centroid_21821_SA.geojson, POINT (-111.927011405124 33.1542655910964)
GilaR_centroid_21822_SA.geojson, POINT (-111.927011405124 33.1542655910964)
GilaR_centroid_21823_SA.geojson, POINT (-111.927011405124 33.1542655910964)
JANRG_centroid_21824_FL.geojson, POINT (-106.813039524649 36.6944010222627) POINT (-107.160997734775 36.5200816015185)
JANRG_centroid_21825_FL.geojson, POINT (-106.813039524649 36.6944010222627) POINT (-107.160997734775 36.5200816015185)
JANRG_centroid_21826_FL.geojson, POINT (-106.813039524649 36.6944010222627) POINT (-107.160997734775 36.5200816015185)
JANRG_centroid_21866_SA.geojson, POINT (-106.813039524649 36.6944010222627) POINT (-107.160997734775 36.5200816015185)
NChey_centroid_21830_FL.geojson, POINT (-106.685307239523 45.5357192078485)
NChey_centroid_21831_SA.geojson, POINT (-106.685307239523 45.5357192078485)
NChey_centroid_21831_SL.geojson, POINT (-106.685307239523 45.5357192078485)
NChey_centroid_21867_FL.geojson, POINT (-106.685307239523 45.5357192078485)
NN-NM_centroid_21827_FL.geojson, POINT (-108.677644255464 36.2906996104352)
